match_id,radiant_win,duration,Support,Initiator,Pusher,Escape,Nuker,Carry,Durable,Disabler,early_game_gold_adv,early_game_xp_adv,radiant_bottom_tier_2,radiant_bottom_tier_1,radiant_middle_tier_2,radiant_middle_tier_1,radiant_top_tier_2,radiant_top_tier_1,dire_bottom_tier_2,dire_bottom_tier_1,dire_middle_tier_2,dire_middle_tier_1,dire_top_tier_2,dire_top_tier_1,radiant_score_adv
7952357853,1,28,1,3,2,2,5,3,1,4,296,-135,1,0,0,0,1,1,1,0,0,0,0,0,8
7952385199,0,23,2,1,0,3,4,2,2,3,-5011,-3740,0,0,0,0,1,0,1,1,1,1,1,0,-14
7952431099,0,26,2,2,1,2,5,2,0,4,-690,312,0,0,0,0,0,0,1,0,1,0,1,0,-20
7952474354,1,25,1,3,1,2,4,3,3,3,25,-681,0,0,1,0,1,1,0,0,1,1,0,0,6
7952510604,0,38,3,1,3,2,3,3,1,4,3008,4257,0,0,0,0,0,0,1,0,0,0,0,0,-4
7952555137,0,28,2,3,2,1,4,2,2,5,800,2,0,0,0,0,1,1,1,0,1,0,1,0,-7
7952582098,1,36,2,3,2,1,3,2,2,4,3276,947,0,0,1,0,1,0,0,0,0,0,0,0,2
7952600291,0,30,4,1,0,2,5,4,0,5,-4123,-1713,0,0,0,0,0,0,1,1,1,0,1,0,-11
7952635421,1,30,1,3,1,2,5,2,1,4,-1562,-1879,1,0,1,0,1,0,0,0,0,0,0,0,9
7952644786,1,25,2,5,2,1,5,3,2,5,2321,4101,0,0,1,0,1,1,0,0,0,0,1,0,15
7952690299,0,31,1,2,3,2,5,3,1,3,-1084,820,0,0,0,1,0,0,1,0,1,0,1,0,-13
7952695761,1,22,2,2,1,2,4,2,2,4,2891,1485,1,0,1,0,1,1,0,0,1,1,0,0,17
7952757649,1,27,2,2,0,1,4,2,2,4,-471,1432,1,0,1,1,1,0,1,0,0,0,0,0,15
7952923599,0,24,2,3,0,2,4,2,3,4,1855,1090,0,0,0,0,0,0,1,1,1,0,1,0,-8
7952992299,0,25,3,2,1,3,3,2,2,4,-2073,-2564,0,0,0,0,1,0,1,1,1,0,1,0,-22
7952996499,1,36,1,3,0,1,4,2,2,4,927,1347,1,0,1,0,1,0,0,0,0,1,0,0,25
7952998741,1,23,1,4,1,2,3,4,2,5,167,1805,1,1,1,1,1,1,0,0,0,0,0,0,10
7953053798,0,36,2,2,1,0,4,2,1,4,-1393,612,0,0,1,0,1,0,1,1,1,0,1,0,-11
7953092681,0,36,2,4,0,4,2,3,2,4,-996,357,0,0,0,0,0,0,1,0,0,0,0,0,-2
7953118851,0,37,2,2,1,2,4,3,3,5,-3964,-1618,0,0,0,0,0,0,1,0,1,0,1,0,-30
7953272183,0,51,1,4,3,1,4,3,3,5,2354,107,0,0,0,0,0,0,1,0,0,0,0,0,-10
7953281515,1,28,4,2,0,2,4,3,1,3,-153,-1049,1,1,1,1,1,1,0,0,0,0,0,0,16
7953332171,1,27,2,2,1,3,5,4,2,5,1312,-1911,1,0,1,0,1,0,0,0,1,1,0,0,8
7953335775,0,34,2,2,0,4,3,3,1,4,1234,1506,0,0,0,0,0,0,1,1,1,0,1,0,-16
7953343671,0,42,3,2,0,1,4,2,3,3,1378,953,0,0,0,0,0,0,1,1,1,0,0,0,-10
7953342836,0,27,2,3,0,2,4,2,1,4,-6859,-4990,0,0,0,0,0,0,1,1,1,1,1,1,-42
7953372799,0,21,2,2,0,3,5,1,2,4,-3847,-2338,1,0,0,0,1,0,1,1,1,1,1,1,-26
7953431310,1,23,2,2,1,2,4,3,3,3,4323,2063,1,1,1,1,1,1,0,0,0,0,0,0,17
7953431973,1,33,3,3,2,4,5,3,1,5,-2729,-2698,0,0,0,0,0,0,0,0,0,0,0,0,3
7953453865,1,34,2,1,0,3,5,3,2,4,1940,868,1,0,1,0,1,0,0,0,0,0,0,0,5
7953454214,1,21,3,1,2,4,5,2,1,4,7430,8205,1,1,1,1,1,1,0,0,1,0,0,0,37
7953528706,1,33,3,2,4,1,4,2,3,4,1095,2478,1,0,1,1,1,0,0,0,0,0,0,0,4
7953549193,1,34,1,3,1,3,3,3,2,3,2403,3276,0,0,1,0,1,1,0,0,0,0,0,0,24
7953559401,0,31,3,1,1,3,4,1,2,4,-5513,-5443,0,0,0,0,0,0,1,0,1,1,1,0,-36
7953568242,0,27,2,3,1,2,5,3,1,5,-1920,-1952,0,0,0,1,0,0,1,1,1,0,1,0,-28
7953651253,1,29,1,4,0,2,4,3,2,4,4020,2967,1,0,1,0,1,1,0,0,0,0,0,0,31
7953651500,1,32,2,2,2,1,5,2,2,4,4737,3644,1,0,1,0,1,1,0,0,0,0,0,0,18
7953661494,1,34,3,3,1,2,5,3,3,4,3635,1576,1,0,1,1,1,1,0,0,0,0,0,0,20
7953769644,0,25,3,2,2,4,3,2,2,4,-3642,-1920,1,0,1,0,0,0,1,0,1,0,1,0,-20
7953834275,1,26,1,3,2,4,3,4,2,3,5141,4839,1,1,1,1,1,1,0,0,0,0,0,0,29
7954193454,0,29,2,2,2,0,4,3,2,4,-4895,-5595,0,0,1,0,0,0,1,0,1,0,1,0,-12
7954227752,1,34,2,2,3,3,4,3,2,4,1363,1314,0,0,1,0,0,0,0,0,1,0,0,0,11
7954292629,0,28,1,2,2,3,5,3,2,4,-4423,-2343,0,0,0,0,1,1,1,1,1,0,0,0,-25
7954328690,0,25,0,4,1,2,5,4,4,4,-3143,-4948,1,0,0,0,1,0,1,1,1,1,1,0,-28
7954367203,0,27,3,1,1,3,5,3,0,3,-918,-586,1,0,0,0,1,1,1,0,1,0,1,0,-21
7954413670,1,42,2,2,0,3,4,4,2,3,-668,-1674,0,0,0,0,0,0,0,0,0,0,0,0,22
7954446331,1,27,2,4,0,1,5,4,2,4,-3316,-1993,1,0,1,0,1,0,0,0,1,1,0,0,19
7954494119,1,31,2,3,1,2,4,3,2,4,7211,5008,1,0,1,1,1,0,0,0,1,1,0,0,25
7954502035,1,35,2,2,0,1,4,3,1,4,45,1159,0,0,0,0,0,0,1,0,0,0,0,0,-1
7954603472,1,31,1,2,1,2,5,3,1,4,-1471,594,1,0,1,1,1,1,0,0,0,0,0,0,17
7954689384,0,30,2,2,1,4,5,3,1,5,-4940,-4029,0,0,1,0,0,0,1,1,1,1,1,1,-20
7954722039,1,46,1,4,0,2,3,2,2,4,-2848,-1390,1,0,0,0,1,0,0,0,0,0,0,0,11
7954727027,0,31,1,3,1,2,4,3,2,3,-6,269,1,0,0,0,0,0,1,0,1,0,1,0,-4
7954774813,1,36,2,2,1,2,5,2,2,3,1645,404,1,0,1,0,1,0,0,0,0,0,0,0,11
7954775618,0,43,1,3,3,1,4,3,2,4,-2428,-1791,0,0,0,0,0,0,1,0,1,0,1,0,-30
7954785882,1,29,1,1,0,1,3,4,2,2,216,629,1,0,1,0,1,0,0,0,0,0,0,0,11
7954791625,0,30,1,2,1,2,3,3,4,3,-5718,-4088,0,0,0,0,0,0,1,0,1,0,1,0,-32
7954794387,0,30,2,4,1,1,4,3,3,5,-4376,-1457,0,0,0,0,0,0,1,1,1,0,1,1,-25
7954795687,1,28,1,4,1,0,4,3,3,4,8968,7539,1,1,1,1,1,1,0,0,0,0,0,0,48
7954797424,0,27,2,4,1,2,5,4,1,3,-6379,-5490,0,0,1,0,0,0,1,1,1,0,1,1,-47
7954797813,0,38,2,2,0,4,3,3,2,3,-2867,-3639,0,0,0,0,0,0,1,1,1,0,1,0,-15
7954821883,0,33,2,2,1,2,3,3,1,4,-798,-624,0,0,0,0,0,0,1,0,1,0,1,1,-14
7954821582,1,36,2,2,0,3,3,3,2,4,-250,-7,0,0,1,0,0,0,0,0,0,0,0,0,15
7954829146,1,30,2,0,2,3,2,3,0,2,3535,3630,1,1,1,1,1,1,0,0,1,0,0,0,27
7954845255,0,33,1,3,0,3,5,2,3,2,-1351,-616,0,0,0,0,0,0,1,1,1,1,1,1,-32
7954894188,0,33,2,3,1,2,3,3,2,3,2012,1263,0,0,0,0,1,0,0,0,0,0,0,0,-9
7954945487,0,52,2,1,0,2,4,3,1,3,-3414,-1672,0,0,0,0,0,0,1,0,1,0,1,0,-25
7954958115,1,23,4,0,1,2,4,3,2,4,6018,5039,1,1,1,1,1,1,0,0,0,0,0,0,24
7954958634,1,29,3,2,0,4,4,3,2,5,-167,-1131,1,0,0,0,1,0,0,0,0,0,0,0,14
7954961106,0,48,1,1,1,2,5,3,2,1,-1898,-2236,0,0,0,0,0,0,0,0,0,0,0,0,-18
7954963332,1,21,3,2,1,3,3,3,2,3,8828,7462,1,0,1,1,1,1,0,0,1,0,0,0,38
7955061919,1,57,3,3,0,3,5,4,2,5,44,205,0,0,0,0,0,0,0,0,0,0,1,0,5
7955119232,0,23,3,0,1,4,4,2,2,4,-10472,-10574,0,0,0,0,0,0,1,1,1,1,1,1,-47
7955121135,1,37,2,2,0,2,3,2,2,4,5464,5484,1,0,1,0,1,1,0,0,0,0,0,0,26
7955133590,0,25,2,3,0,3,4,2,3,4,-200,-2942,1,0,0,0,0,0,1,0,1,0,1,0,-20
7955215741,0,26,3,3,0,2,5,2,4,3,-5145,-3739,0,0,0,0,1,0,1,1,1,0,1,0,-19
7955235938,1,24,2,3,1,1,3,3,3,4,5991,3187,1,0,1,0,1,0,0,0,0,0,0,0,20
7955236088,0,36,2,3,1,3,2,4,3,4,-2633,-1352,0,0,0,0,0,0,1,1,1,0,1,0,-11
7955292342,1,27,1,2,2,1,3,4,2,5,660,212,1,0,1,0,1,0,1,0,0,0,0,0,23
7955322377,0,41,1,4,3,2,4,4,3,5,-564,-265,0,0,0,0,0,0,0,0,0,0,0,0,-1
7955344075,0,39,2,1,1,1,5,3,3,2,-2342,-3525,0,0,0,0,0,0,1,0,1,0,0,0,-18
7955417451,1,42,1,3,1,0,4,2,2,4,-45,134,0,0,0,0,1,0,0,0,0,0,0,0,9
