model,Accuracy,ROC_AUC,Logloss,Precision,Recall,f1
Random Forest baseline Holdout,0.7238593155893536,0.8190731006913476,0.4996544768900859,0.7397119341563786,0.6867239732569246,0.7122337790985637
Catboost baseline Holdout,0.7210076045627376,0.8239453355489712,0.4942955572341597,0.737603305785124,0.6819484240687679,0.7086848635235732
LightGBM baseline Holdout,0.7129277566539924,0.820036342968467,0.4972157148962329,0.72579001019368,0.6800382043935053,0.7021696252465484
Catboost best Holdout,0.716254752851711,0.8244721369069079,0.49200573908853823,0.7329192546583851,0.6762177650429799,0.7034277198211625
Catboost best Holdout,0.7181558935361216,0.8216293975037025,0.49834542467341264,0.7325819672131147,0.6829035339063992,0.7068709836875927
LightGBM best Holdout,0.714828897338403,0.8216863245801177,0.4940598903479074,0.7292307692307692,0.6790830945558739,0.7032640949554896
